0	-1	-1	1	0	0	2	1
1	-1	-1	1	0	0	2	1
2	0	1	2	2	1	5	2
3	0	2	3	5	2	20	47
4	1	2	3	5	2	8	7
5	0	4	4	8	7	15	26
6	0	5	5	15	26	49	123
7	1	5	5	15	26	58	157
8	0	3	4	20	47	23	52
9	0	8	5	23	52	94	283
10	3	4	6	36	105	343	1598
11	6	8	9	49	123	64	182
12	1	7	6	58	157	105	318
13	2	11	11	64	182	2901	33419
14	2	9	7	94	283	1162	8645
15	0	12	7	105	318	142	487
16	9	12	11	109	335	123	387
17	2	16	13	123	387	417	2062
18	2	5	6	126	408	209	716
19	15	16	18	142	487	249	873
20	3	7	8	156	567	220	762
21	9	15	12	166	589	264	976
22	11	12	15	184	647	345	1599
23	15	18	13	209	716	711	4488
24	11	20	17	220	762	294	1267
25	1	3	4	246	868	305	1361
26	4	19	21	249	873	257	909
27	0	26	22	257	909	417	2062
28	8	21	16	264	976	4285	50316
29	6	24	22	294	1267	2081	21072
30	15	25	11	305	1361	3118	36023
31	10	25	10	343	1598	734	4731
32	10	22	21	345	1599	360	1707
33	7	12	11	357	1664	496	2724
34	0	32	22	360	1707	4562	53407
35	6	22	20	396	1980	438	2355
36	2	25	6	411	2037	3362	38677
37	17	27	35	417	2062	614	3635
38	3	16	14	422	2163	536	3079
39	32	35	41	438	2355	496	2724
40	16	25	15	477	2624	1066	7901
41	33	39	52	496	2724	1023	7204
42	33	38	25	536	3079	809	5446
43	4	27	25	564	3329	748	4829
44	8	15	11	592	3495	2662	30373
45	20	37	43	614	3635	2851	32670
46	21	35	32	635	3859	660	4082
47	26	46	53	660	4082	809	5446
48	23	25	17	711	4488	5423	67818
49	37	38	49	717	4502	1162	8645
50	15	26	28	722	4571	1279	10106
51	25	31	14	734	4731	2430	26994
52	35	43	45	748	4829	1489	13436
53	24	46	49	788	5224	1379	11914
54	42	47	78	809	5446	1287	10149
55	22	23	28	886	6366	993	6970
56	12	23	19	902	6485	2662	30373
57	7	11	14	923	6583	1946	19769
58	7	24	22	923	6583	20340	443903
59	11	24	26	923	6583	2901	33419
60	23	35	33	939	6663	1864	18856
61	37	55	63	993	6970	1204	9177
62	8	25	8	1018	7148	1320	11000
63	2	41	54	1023	7204	1641	15912
64	22	41	67	1026	7284	1287	10149
65	9	27	27	1037	7463	1662	16266
66	10	31	16	1059	7858	2039	20668
67	35	40	35	1066	7901	30821	817807
68	9	46	37	1138	8517	1359	11561
69	14	49	56	1162	8645	1471	13188
70	17	24	30	1173	8750	2055	20781
71	19	61	81	1204	9177	2310	24709
72	9	50	33	1279	10106	1662	16266
73	54	64	145	1287	10149	2149	21917
74	43	62	33	1320	11000	2149	21917
75	19	68	55	1359	11561	2129	21687
76	27	53	71	1379	11914	8115	119807
77	0	7	6	1454	13067	1782	17957
78	55	69	84	1471	13188	1558	14434
79	20	52	53	1489	13436	1606	15289
80	37	78	119	1558	14434	33830	918705
81	62	79	61	1606	15289	2951	34228
82	42	63	79	1641	15912	2624	29770
83	65	72	60	1662	16266	2525	28659
84	25	39	45	1700	16930	114798	4613990
85	9	78	89	1751	17523	7278	102550
86	50	77	34	1782	17957	1830	18455
87	31	86	44	1830	18455	7861	114356
88	38	65	41	1849	18681	4024	47773
89	14	60	40	1864	18856	2628	29827
90	9	49	54	1890	19221	3191	36755
91	2	64	69	1934	19609	2709	30977
92	19	57	32	1946	19769	4019	47743
93	16	55	39	1959	19892	4514	52649
94	3	66	19	2039	20668	3219	37055
95	54	70	108	2055	20781	5256	65136
96	29	31	32	2081	21072	3604	42836
97	0	16	12	2099	21372	7395	105374
98	21	31	22	2113	21537	3348	38560
99	68	75	92	2129	21687	3604	42836
100	73	74	178	2149	21917	2369	25694
101	61	79	116	2157	22110	7879	114786
102	42	50	53	2285	24387	2864	32792
103	16	71	92	2310	24709	4514	52649
104	1	100	179	2369	25694	4652	54845
105	51	69	70	2430	26994	5959	74824
106	72	83	93	2525	28659	9257	142759
107	8	55	32	2615	29704	4620	54230
108	64	82	146	2624	29770	25202	610788
109	1	89	41	2628	29827	14338	265669
110	44	56	30	2662	30373	3118	36023
111	38	91	83	2709	30977	3432	40244
112	17	41	65	2824	32487	13571	248189
113	20	45	51	2851	32670	4167	49093
114	82	102	132	2864	32792	4620	54230
115	20	43	33	2889	33224	10346	167867
116	13	59	37	2901	33419	11203	187872
117	20	44	19	2910	33585	6766	90777
118	81	89	101	2951	34228	4349	50764
119	2	17	15	3026	35268	9210	142049
120	30	110	41	3118	36023	3941	47077
121	21	50	40	3143	36207	3387	39063
122	71	81	142	3168	36414	4945	60176
123	82	90	133	3191	36755	3655	43413
124	29	94	41	3219	37055	3655	43413
125	25	98	26	3348	38560	12158	211755
126	46	69	88	3350	38563	3387	39063
127	17	45	56	3360	38643	4939	60091
128	36	110	36	3362	38677	6801	91448
129	121	126	128	3387	39063	56911	1811324
130	7	111	88	3432	40244	6426	83585
131	45	64	110	3525	41906	5579	69178
132	96	99	124	3604	42836	10578	174607
133	123	124	174	3655	43413	5712	70970
134	70	72	63	3856	46527	5947	74616
135	86	96	66	3906	46850	21231	475287
136	29	120	63	3941	47077	9636	149021
137	12	66	22	3997	47565	8445	128174
138	38	92	46	4019	47743	6207	79562
139	14	57	21	4024	47773	4285	50316
140	14	88	48	4024	47773	128102	5208004
141	57	88	55	4024	47773	4652	54845
142	11	98	31	4067	48313	6156	78406
143	18	37	41	4108	48731	22314	518005
144	10	20	14	4145	48955	4349	50764
145	111	113	134	4167	49093	15907	320927
146	7	19	23	4175	49193	13942	256791
147	1	11	10	4201	49556	8391	126916
148	28	139	37	4285	50316	5198	63982
149	118	144	115	4349	50764	9213	142080
150	39	113	92	4430	51788	6240	80171
151	9	69	61	4500	52506	6077	76864
152	93	103	131	4514	52649	5201	64020
153	46	75	87	4516	52705	17931	374799
154	17	34	35	4562	53407	5114	62975
155	107	114	164	4620	54230	6507	85244
156	104	141	234	4652	54845	26670	665265
157	17	66	29	4732	57112	16882	350736
158	82	127	135	4939	60091	8115	119807
159	2	122	144	4945	60176	8698	131800
160	12	90	60	4985	61018	8375	126577
161	29	154	57	5114	62975	19913	426195
162	12	33	17	5121	63036	10446	170950
163	11	46	41	5165	63620	41801	1233295
164	79	148	90	5198	63982	19015	402419
165	99	152	223	5201	64020	7567	108221
166	77	95	114	5256	65136	6507	85244
167	10	48	23	5423	67818	70525	2384461
168	56	120	60	5441	67997	18794	393946
