0	-1	-1	1	0	0	2	1
1	-1	-1	1	0	0	2	1
2	0	1	2	2	1	5	2
3	0	2	3	5	2	12	7
4	1	2	3	5	2	19	18
5	1	3	4	12	7	33	48
6	2	3	5	12	7	24	27
7	2	4	5	19	18	72	150
8	3	4	6	19	18	29	35
9	0	3	4	24	27	108	302
10	0	6	6	24	27	62	135
11	3	6	8	24	27	33	48
12	4	8	9	29	35	78	186
13	5	11	12	33	48	45	90
14	3	13	15	45	90	539	2125
15	3	5	7	52	120	381	1576
16	5	10	10	62	135	72	150
17	1	8	7	64	136	99	238
18	4	10	9	70	149	97	236
19	7	16	15	72	150	562	2237
20	2	12	11	78	186	99	238
21	0	11	9	97	236	229	811
22	0	18	10	97	236	453	1810
23	11	18	17	97	236	137	385
24	17	20	18	99	238	152	449
25	9	12	13	108	302	168	537
26	2	9	6	113	325	337	1418
27	12	16	19	121	344	1255	6643
28	6	20	16	127	363	168	537
29	10	11	14	133	379	152	449
30	1	23	18	137	385	370	1536
31	24	29	32	152	449	612	2521
32	2	25	15	168	537	1144	5684
33	2	28	18	168	537	237	842
34	25	28	29	168	537	188	643
35	11	34	37	188	643	721	3146
36	2	20	13	211	772	308	1308
37	0	29	15	213	778	283	1092
38	8	21	15	229	811	843	3836
39	10	33	24	237	842	254	903
40	1	5	5	254	903	420	1698
41	1	39	25	254	903	269	970
42	5	39	28	254	903	1397	8008
43	4	41	28	269	970	283	1092
44	37	43	43	283	1092	661	2778
45	36	41	38	308	1308	1311	7096
46	6	17	12	313	1332	1711	10460
47	7	28	21	332	1398	499	1935
48	13	26	18	337	1418	2480	16570
49	13	36	25	337	1418	579	2331
50	26	36	19	337	1418	779	3386
51	4	18	12	343	1460	404	1647
52	0	30	19	370	1536	1716	10497
53	15	28	23	381	1576	2908	20267
54	10	29	20	392	1618	5020	41495
55	4	51	15	404	1647	704	3034
56	3	16	13	418	1694	750	3298
57	2	40	7	420	1698	458	1826
58	7	10	11	430	1712	1244	6549
59	7	34	34	430	1712	772	3365
60	10	34	35	430	1712	3113	21992
61	22	51	22	453	1810	989	4702
62	11	57	15	458	1826	551	2147
63	9	10	10	478	1878	615	2530
64	3	39	27	481	1880	832	3743
65	6	13	17	489	1910	3144	22379
66	41	47	46	499	1935	1192	6111
67	5	43	32	508	1999	1537	9173
68	14	26	21	539	2125	813	3618
69	11	43	36	547	2139	2061	12830
70	21	62	24	551	2147	1537	9173
71	12	19	24	562	2237	1023	4909
72	9	49	29	579	2331	965	4600
73	34	37	44	584	2354	3588	26876
74	12	28	25	591	2393	1015	4851
75	31	49	57	612	2521	1319	7167
76	49	63	35	615	2530	1202	6245
77	11	37	23	639	2708	1923	12046
78	30	51	30	652	2754	688	2937
79	5	17	11	655	2762	1003	4750
80	33	44	61	661	2778	1244	6549
81	24	78	48	688	2937	843	3836
82	12	55	24	704	3034	813	3618
83	17	35	44	721	3146	1400	8035
84	1	56	14	750	3298	772	3365
85	59	84	48	772	3365	1309	7075
86	5	50	23	779	3386	835	3757
87	18	47	30	782	3406	1565	9360
88	68	82	45	813	3618	2839	19603
89	59	64	61	832	3743	904	4283
90	24	86	41	835	3757	1882	11701
91	38	81	63	843	3836	4141	31963
92	7	29	19	865	4104	1573	9465
93	1	10	7	902	4281	2045	12711
94	5	89	65	904	4283	1162	5765
95	25	57	20	933	4491	1061	5124
96	8	72	35	965	4600	2519	16917
97	23	84	31	986	4699	2648	18350
98	13	61	34	989	4702	1855	11479
99	50	86	42	995	4733	1329	7359
100	44	51	55	1001	4748	1071	5182
101	29	79	25	1003	4750	1084	5325
102	62	74	40	1015	4851	1153	5716
103	15	71	31	1023	4909	1232	6449
104	29	68	35	1045	5060	1968	12291
105	8	95	26	1061	5124	10910	114768
106	62	100	70	1071	5182	14411	169794
107	23	101	42	1084	5325	1329	7359
108	62	82	39	1098	5465	4916	40096
109	11	32	23	1144	5684	1826	11226
110	7	14	20	1151	5715	1573	9465
111	95	102	60	1153	5716	1422	8238
112	26	94	71	1162	5765	1485	8723
113	4	49	28	1188	6098	2477	16562
114	19	66	61	1192	6111	4269	33528
115	76	101	60	1202	6245	1565	9360
116	11	103	39	1232	6449	2332	15267
117	58	80	72	1244	6549	1749	10685
118	10	27	25	1255	6643	4355	34452
119	4	40	8	1287	6968	2902	20191
120	18	40	14	1287	6968	4089	31440
121	19	85	63	1309	7075	6727	60001
122	18	45	47	1311	7096	6706	59511
123	66	75	103	1319	7167	2519	16917
124	99	107	84	1329	7359	2061	12830
125	4	101	28	1372	7886	7001	64292
126	8	16	16	1378	7903	9794	98731
127	36	42	41	1397	8008	7361	68389
128	39	83	68	1400	8035	1983	12339
129	68	111	81	1422	8238	2782	19212
130	63	64	37	1451	8499	5278	44187
131	38	45	53	1471	8655	270150	8600127
132	76	112	106	1485	8723	2260	14533
133	63	72	39	1509	8963	2655	18411
134	67	70	56	1537	9173	2837	19588
135	27	50	38	1560	9343	2257	14522
136	72	87	59	1565	9360	6394	56219
137	72	115	89	1565	9360	9558	95583
138	87	115	90	1565	9360	4865	39451
139	26	27	25	1569	9435	1684	10274
140	92	110	39	1573	9465	1779	10976
141	58	99	53	1658	10175	4644	36454
142	16	115	70	1679	10259	2045	12711
143	89	139	86	1684	10274	1826	11226
144	45	46	50	1711	10460	3170	22926
145	26	52	25	1716	10497	238694	7195742
146	101	117	97	1749	10685	8994	87302
147	56	140	52	1779	10976	2908	20267
148	109	143	109	1826	11226	3288	24244
149	63	89	71	1841	11419	2998	21108
150	39	98	58	1855	11479	5502	46165
151	25	90	54	1882	11701	3862	29033
152	27	33	37	1897	11865	11854	128938
153	61	77	45	1923	12046	2586	17587
154	72	104	64	1968	12291	3107	21948
155	38	128	83	1983	12339	2590	17592
156	93	142	77	2045	12711	37239	612327
157	69	124	120	2061	12830	2173	13709
158	3	49	28	2086	13091	2391	15829
159	35	66	83	2090	13114	3269	24063
160	94	140	104	2164	13654	3739	28100
161	128	157	188	2173	13709	6645	58519
162	20	40	16	2211	14137	5769	49600
163	49	128	93	2217	14181	20624	273208
164	13	135	50	2257	14522	9713	97713
165	66	132	152	2260	14533	2361	15459
166	12	93	16	2321	15213	13152	149465
167	89	116	100	2332	15267	5522	46312
168	12	43	37	2343	15348	4996	41237
169	63	165	162	2361	15459	4701	37028
170	26	158	34	2391	15829	27290	408214
171	36	43	41	2420	16115	5196	43112
172	44	116	82	2450	16376	2586	17587
